Woonplaatsen;Gemeente
Aadorp;Almelo
Aagtekerke;Veere
Aalden;Coevorden
Aalsmeer;Aalsmeer
Aalsmeerderbrug;Haarlemmermeer
Aalst;Zaltbommel
Aalsum;Noardeast-Fryslân
Aalten;Aalten
Ter Aar;Nieuwkoop
Ter Aard;Assen
Aardenburg;Sluis
Aarlanderveen;AlphenaandenRijn
Aarle-Rixtel;Laarbeek
Aartswoud;Opmeer
Abbega;Súdwest-Fryslân
Abbekerk;Medemblik
Abbenbroek;Nissewaard
Abbenes;Haarlemmermeer
Abcoude;DeRondeVenen
Achlum;Waadhoeke
Achterveld;Barneveld
Achterveld;Leusden
Achthuizen;Goeree-Overflakkee
Achtmaal;Zundert
Acquoy;WestBetuwe
Adorp;HetHogeland
Aduard;Westerkwartier
Aerdenhout;Bloemendaal
Aerdt;Zevenaar
Afferden;Druten
Afferden L;Bergen(L.)
Agelo;Dinkelland
Akersloot;Castricum
Akkrum;Heerenveen
Akmarijp;DeFryskeMarren
Albergen;Tubbergen
Alblasserdam;Alblasserdam
Alde Leie;Leeuwarden
Aldeboarn;Heerenveen
Aldtsjerk;Tytsjerksteradiel
Alem;Maasdriel
Alkmaar;Alkmaar
Allingawier;Súdwest-Fryslân
Almelo;Almelo
Almen;Lochem
Almere;Almere
Almkerk;Altena
Alphen;WestMaasenWaal
Alphen;Alphen-Chaam
Alphen aan den Rijn;AlphenaandenRijn
Alteveer;Noordenveld
Alteveer;Stadskanaal
Alteveer;DeWolden
Alteveer gem Hoogeveen;Hoogeveen
Altforst;WestMaasenWaal
Ambt Delden;HofvanTwente
Ameide;Vijfheerenlanden
Amen;AaenHunze
America;HorstaandeMaas
Amerongen;UtrechtseHeuvelrug
Amersfoort;Amersfoort
Ammerstol;Krimpenerwaard
Ammerzoden;Maasdriel
Amstelhoek;DeRondeVenen
Amstelveen;Amstelveen
Amstenrade;Beekdaelen
Amsterdam;Amsterdam
Amsterdam-Duivendrecht;Ouder-Amstel
Andel;Altena
Den Andel;HetHogeland
Andelst;Overbetuwe
Anderen;AaenHunze
Andijk;Medemblik
Ane;Hardenberg
Anerveen;Hardenberg
Anevelde;Hardenberg
Angeren;Lingewaard
Angerlo;Zevenaar
Anjum;Noardeast-Fryslân
Ankeveen;Wijdemeren
Anloo;AaenHunze
Anna Paulowna;HollandsKroon
Annen;AaenHunze
Annerveenschekanaal;AaenHunze
Ansen;Westerveld
Ansen;DeWolden
Ter Apel;Westerwolde
Apeldoorn;Apeldoorn
Ter Apelkanaal;Westerwolde
Appelscha;Ooststellingwerf
Appeltern;WestMaasenWaal
Appingedam;Appingedam
Arcen;Venlo
Arkel;Molenlanden
Arnemuiden;Middelburg
Arnhem;Arnhem
Arriën;Ommen
Arum;Súdwest-Fryslân
Asch;Buren
Asperen;WestBetuwe
Assen;Assen
Assendelft;Zaanstad
Asten;Asten
Augsbuurt;Noardeast-Fryslân
Augustinusga;Achtkarspelen
Austerlitz;Zeist
Avenhorn;Koggenland
Axel;Terneuzen
Azewijn;Montferland
Baaiduinen;Terschelling
