Attribute	Label	Weight
bos	O	5.088839
next_word.lower():gullen	B-MISC	4.329163
next_word.lower():beuzebelder	B-MISC	4.254611
bias	O	3.938703
word.wordshape():xxx	O	3.569312
eos	O	3.44155
prev_word.lower():nog	O	3.428483
word.lower():veujoar	B-MISC	3.424807
prev_word.lower():o	B-PER	3.326633
prev_word.lower():edna	O	3.298385
next_word.lower():ôf	O	3.255465
word.wordshape():xx	O	3.21359
prev_word.lower():vrouw	B-PER	3.152754
word.lower():menisten	B-ORG	3.135646
word.lower():heer	B-PER	2.958832
word.wordshape():xxxxx	O	2.933948
word.prefix3:olj	B-MISC	2.888665
word.lower():meert	B-MISC	2.862025
bos	B-PER	2.854874
word.suffix2:ël	B-PER	2.782663
prev_word.lower():mevrouw	B-PER	2.759105
word.wordshape():xxxx	O	2.721378
prev_word.lower():z.w	I-MISC	2.697099
word.lower():lammert	B-PER	2.690239
prev_word.lower():vrau	B-PER	2.66213
prev_word.lower():oet	B-LOC	2.659029
prev_word.lower():nao	B-LOC	2.646359
word.lower():berend	B-PER	2.623165
next_word.lower():eerder	I-PER	2.613255
word.lower():maaimoand	O	2.521388
word.suffix2:as	B-PER	2.508793
word.suffix2:rs	B-MISC	2.508011
word.prefix3:Wes	B-LOC	2.476198
next_word.lower():graitje	B-PER	2.473749
word.prefix3:Tob	B-PER	2.456929
word.wordshape():Xx	O	2.438847
word.ingazetteer	B-LOC	2.413387
word.prefix3:Pao	B-MISC	2.413288
word.lower():schutter	B-PER	2.402512
word.lower():jan	B-PER	2.388585
word.lower():gruinhofs	B-PER	2.38783
word.suffix2:ko	B-PER	2.382765
next_word.lower():der	B-PER	2.379886
word.lower():haarmke	B-PER	2.353309
word.suffix3:ofs	B-PER	2.345197
word.suffix2:je	B-PER	2.341676
prev_word.lower():naor	B-LOC	2.332359
word.lower():pril	B-PER	2.299329
word.lower():christenunie	B-ORG	2.291636
word.wordshape():XxxxxxxxXxxx	B-ORG	2.291636
word.suffix2:se	B-MISC	2.278241
word.lower():vruigen	B-PER	2.267761
word.suffix3:moa	B-PER	2.255087
word.lower():grunnen	B-LOC	2.253826
prev_word.lower():‘	O	2.238773
word.prefix3:Eek	B-LOC	2.231683
next_word.lower():hên	B-LOC	2.229882
word.prefix3:Sik	O	2.228557
prev_word.isupper()	I-PER	2.209326
word.prefix2:Do	O	2.20706
next_word.lower():dood	B-PER	2.205804
word.lower():voader	O	2.195326
word.prefix3:Jur	B-PER	2.190164
word.prefix3:Hil	B-PER	2.185527
prev_word.lower():jan	I-PER	2.182501
prev_word.lower():noar	B-LOC	2.178358
word.prefix3:Alb	B-PER	2.169926
word.lower():fennechien	B-PER	2.167459
word.suffix3:ene	B-PER	2.15745
prev_word.lower():edele	O	2.149178
word.prefix2:Ru	B-MISC	2.148538
next_word.lower():zel	B-LOC	2.138191
next_word.lower():veen	B-PER	2.136366
word.prefix3:Fen	B-PER	2.132397
prev_word.lower():'e	B-MISC	2.125584
word.prefix3:Vee	B-MISC	2.124343
word.suffix3:and	B-LOC	2.123947
word.prefix3:Gra	B-PER	2.112823
word.isupper()	B-PER	2.108107
word.lower():meerten	B-PER	2.092576
prev_word.lower():'k	O	2.082411
prev_word.lower():uut	B-LOC	2.076574
word.wordshape():xxxxxx	O	2.074738
word.prefix2:Ze	O	2.074637
word.prefix3:zön	B-MISC	2.068781
word.prefix3:28s	B-MISC	2.06855
prev_word.lower():meneer	B-PER	2.060719
word.lower():twijoogje	B-PER	2.058679
word.suffix3:nie	B-ORG	2.057648
prev_word.lower():zoltkaamper	I-MISC	2.051785
word.lower():roulf	B-PER	2.037705
word.lower():duvel	B-PER	2.034429
word.istitle()	B-LOC	2.029436
word.prefix3:Jaa	B-PER	2.02866
word.lower():albertien	B-PER	2.025004
word.prefix3:Doo	O	2.02367
next_word.lower():haog	B-LOC	2.020925
next_word.lower():pzn	I-LOC	2.018485
word.suffix3:ërs	B-MISC	2.018064
word.prefix3:d’G	B-MISC	2.014087
word.suffix2:od	B-PER	2.01057
word.suffix3:ias	B-PER	2.006292
word.suffix3:gje	B-PER	2.005879
prev_word.lower():'s	O	2.000543
prev_word.lower():n	O	1.993959
prev_word.lower():boer	B-PER	1.991126
word.prefix2:Ja	B-PER	1.987312
word.prefix3:Chr	B-ORG	1.979034
next_word.lower():vruigen	O	1.964758
next_word.lower():gaf	B-PER	1.963606
word.lower():mienie	B-PER	1.951047
word.lower():noorman	B-MISC	1.94482
word.suffix2:fs	B-PER	1.944508
word.lower():laimneer	B-LOC	1.942507
word.prefix3:Lam	B-PER	1.940814
word.prefix3:Olj	B-MISC	1.928117
prev_word.lower():boas	B-PER	1.926403
word.lower():god	B-PER	1.916207
word.suffix3:God	B-PER	1.916207
prev_word.lower():grunneger	I-LOC	1.913666
word.lower():steenbergen	B-PER	1.91168
word.wordshape():xxxxxxxxx	O	1.908509
word.prefix3:Wic	O	1.906543
prev_word.lower():olle	B-MISC	1.89489
word.lower():oljoarsdag	B-MISC	1.891157
word.suffix2:na	B-PER	1.8904
word.lower():rages	I-LOC	1.889814
prev_word.lower():g.	O	1.888959
word.lower():aize	B-PER	1.888615
word.wordshape():xxxxxxxx	O	1.888182
word.wordshape():Xxxxxxxxxxxxxx	B-MISC	1.88494
word.prefix2:Zu	B-LOC	1.884525
word.prefix3:Lub	B-PER	1.881412
word.suffix3:ges	I-LOC	1.876691
word.prefix3:Tru	B-PER	1.863217
word.suffix3:tan	B-PER	1.861613
word.suffix3:ger	B-MISC	1.860912
word.istitle()	B-PER	1.858232
word.suffix3:aip	B-LOC	1.85748
prev_word.lower():hef	B-MISC	1.854322
word.prefix3:Rag	I-LOC	1.853336
word.lower():aanje	B-PER	1.850805
word.prefix2:Ju	B-PER	1.844834
word.suffix2:ie	B-ORG	1.842079
word.suffix2:um	B-LOC	1.841305
word.prefix3:Zun	B-MISC	1.837583
word.suffix3:ike	O	1.83727
word.suffix3:kie	B-PER	1.835483
prev_word.lower():nou	O	1.826696
next_word.lower():steunt	B-LOC	1.826419
word.lower():reinder	B-PER	1.825983
word.prefix3:Pau	B-PER	1.823049
word.prefix2:Co	B-PER	1.820222
word.lower():zwier	B-PER	1.818852
next_word.lower():dinkt	O	1.81333
word.lower():soatan	B-PER	1.811263
word.lower():stientje	I-PER	1.810621
word.lower():waoterschap	B-ORG	1.810324
word.prefix3:Juf	O	1.810151
word.prefix3:Kam	I-PER	1.809329
word.prefix2:Jo	B-PER	1.805213
word.prefix2:Ch	B-ORG	1.803984
word.lower():haine	B-PER	1.802852
word.suffix3:tad	B-LOC	1.800763
word.prefix3:Kas	B-PER	1.794027
word.lower():hoes	B-PER	1.792418
word.prefix3:Mai	B-LOC	1.790956
next_word.lower():ligt	B-LOC	1.790601
word.wordshape():'X	O	1.790127
word.lower():gerriet	B-PER	1.780294
word.prefix3:Eer	O	1.779349
word.lower():sara	B-PER	1.776196
word.prefix3:Sar	B-PER	1.776196
word.lower():ostara	B-MISC	1.773249
word.prefix3:Ost	B-MISC	1.773249
word.prefix2:Os	B-MISC	1.773249
word.lower():griet	B-PER	1.767667
word.lower():pait	B-PER	1.766547
prev_word.lower():de	I-PER	1.765918
word.wordshape():Xxx	O	1.75717
prev_word.lower():god	O	1.751482
word.prefix2:po	I-LOC	1.75142
word.suffix2:an	B-PER	1.744977
word.lower():voaders	B-PER	1.739105
next_word.lower():heerlkhaaid	B-PER	1.739105
word.prefix3:hee	B-PER	1.738437
word.suffix3:dag	B-MISC	1.738262
word.lower():trien	B-PER	1.732619
word.prefix2:28	B-MISC	1.725379
word.lower():braodherink	B-PER	1.718277
word.suffix3:ien	B-PER	1.717887
word.prefix2:Wo	O	1.709801
prev_word.lower():bobbel	O	1.709653
prev_word.lower():t	I-LOC	1.704576
word.lower():ammerikaonen	B-MISC	1.702735
word.prefix3:amm	B-MISC	1.702735
word.lower():oostelke	B-MISC	1.694869
word.suffix2:au	O	1.689095
next_word.lower():keek	B-PER	1.688792
word.suffix3:rau	O	1.688194
prev_word.lower():hoogeland	I-LOC	1.684813
word.prefix3:vru	B-PER	1.680578
word.lower():hannover	B-LOC	1.677134
word.suffix3:GJE	B-PER	1.674901
word.suffix2:JE	B-PER	1.674901
word.suffix3:eon	B-PER	1.672964
word.suffix3:mer	B-LOC	1.672353
word.lower():drijoogje	B-PER	1.668126
word.prefix3:Gee	B-PER	1.667648
next_word.lower():wind	B-MISC	1.666715
word.lower():swinters	B-MISC	1.666324
word.lower():boven	B-MISC	1.665568
prev_word.lower():in	B-LOC	1.665184
next_word.lower():wad	B-LOC	1.663371
word.prefix2:Ca	B-PER	1.659604
word.prefix2:Tr	B-PER	1.656657
word.lower():louwe	B-PER	1.656107
word.lower():knelis	B-PER	1.655567
word.prefix3:oos	B-MISC	1.655251
next_word.lower():maor	B-MISC	1.647482
prev_word.lower():bakker	B-PER	1.646694
word.lower():wad	I-LOC	1.644588
next_word.lower():proaten	B-MISC	1.640357
word.prefix2:ol	B-MISC	1.637967
word.prefix3:Sie	B-PER	1.636956
word.lower():wetenschap	O	1.636681
word.suffix3:ein	B-LOC	1.632946
word.lower():aoljaorsnaacht	B-MISC	1.621938
next_word.lower():nait	B-ORG	1.620343
word.lower():lijmdobbenveen	B-LOC	1.616904
prev_word.lower():gôlln	B-ORG	1.614424
word.suffix3:som	B-LOC	1.61344
word.lower():dissel	B-PER	1.611527
word.lower():grönnen	B-LOC	1.611524
word.suffix3:örn	B-LOC	1.609306
word.prefix3:Gab	B-PER	1.608495
word.lower():neijaor	B-MISC	1.607784
next_word.lower():hengoan	B-LOC	1.605766
word.prefix2:Oa	B-PER	1.604186
prev_word.lower():gelukkig	B-MISC	1.603864
word.prefix3:Zuu	B-LOC	1.603088
prev_word.lower():vieftig	B-MISC	1.59903
word.prefix3:Rei	B-PER	1.598948
word.prefix3:Ger	B-PER	1.596351
word.wordshape():XXXXXXXX	B-MISC	1.592227
word.lower():mien	O	1.590114
