Attribute	Label	Weight
next_word.lower():gullen	B-MISC	7.203147
next_word.lower():beuzebelder	B-MISC	5.74048
bos	O	5.655803
prev_word.lower():nog	O	5.605299
prev_word.lower():edna	O	5.245422
word.lower():veujoar	B-MISC	4.995405
next_word.lower():ôf	O	4.418505
prev_word.lower():o	B-PER	4.370728
word.lower():menisten	B-ORG	4.116177
word.lower():heer	B-PER	4.012233
prev_word.lower():z.w	I-MISC	3.975031
eos	O	3.97071
bias	O	3.958648
word.lower():meert	B-MISC	3.852467
prev_word.lower():vrouw	B-PER	3.767694
word.prefix3:olj	B-MISC	3.767608
word.wordshape():xxx	O	3.747854
word.wordshape():xx	O	3.737438
next_word.lower():eerder	I-PER	3.582138
word.suffix2:ël	B-PER	3.478898
next_word.lower():graitje	B-PER	3.469395
prev_word.lower():vrau	B-PER	3.467176
prev_word.lower():mevrouw	B-PER	3.419996
word.wordshape():xxxxx	O	3.332278
word.lower():berend	B-PER	3.325439
word.lower():maaimoand	O	3.323965
next_word.lower():hên	B-LOC	3.264183
word.prefix3:Wes	B-LOC	3.259521
prev_word.lower():nao	B-LOC	3.259022
word.lower():lammert	B-PER	3.231028
prev_word.lower():edele	O	3.226873
word.prefix3:Pao	B-MISC	3.222157
prev_word.lower():oet	B-LOC	3.218708
word.lower():pril	B-PER	3.143312
word.lower():vruigen	B-PER	3.136169
word.wordshape():xxxx	O	3.135998
word.prefix3:Tob	B-PER	3.124256
next_word.lower():vruigen	O	3.079871
next_word.lower():dood	B-PER	3.069662
next_word.lower():der	B-PER	3.050735
word.lower():schutter	B-PER	3.040693
next_word.lower():pzn	I-LOC	3.031361
word.suffix2:rs	B-MISC	3.016018
word.lower():haarmke	B-PER	3.009299
word.suffix2:ko	B-PER	2.965356
word.lower():haine	B-PER	2.955375
next_word.lower():zel	B-LOC	2.954838
next_word.lower():haog	B-LOC	2.950601
word.ingazetteer	B-LOC	2.930638
word.lower():laimneer	B-LOC	2.917018
next_word.lower():veen	B-PER	2.896671
word.lower():jan	B-PER	2.874289
next_word.lower():steunt	B-LOC	2.86919
next_word.lower():gaf	B-PER	2.868653
prev_word.lower():'e	B-MISC	2.844944
word.lower():grunnen	B-LOC	2.820402
word.prefix3:Alb	B-PER	2.812136
prev_word.lower():‘	O	2.811321
next_word.lower():dinkt	O	2.792798
word.lower():albertien	B-PER	2.774745
word.lower():noorman	B-MISC	2.772423
word.prefix3:Sik	O	2.768005
word.lower():gruinhofs	B-PER	2.767764
word.suffix3:ofs	B-PER	2.767244
word.suffix3:moa	B-PER	2.767164
word.prefix3:Vee	B-MISC	2.748648
word.suffix3:ias	B-PER	2.724413
word.lower():fennechien	B-PER	2.718209
prev_word.lower():jan	I-PER	2.717706
word.lower():christenunie	B-ORG	2.715543
word.wordshape():XxxxxxxxXxxx	B-ORG	2.715543
word.lower():steenbergen	B-PER	2.713588
word.prefix3:Gra	B-PER	2.696112
word.prefix3:Jur	B-PER	2.68699
word.suffix2:je	B-PER	2.679135
word.lower():maaaarten	B-PER	2.673732
word.prefix2:Ru	B-MISC	2.673404
word.prefix3:Eek	B-LOC	2.673041
word.wordshape():Xx	O	2.666388
word.prefix3:d’G	B-MISC	2.665369
word.prefix3:Hil	B-PER	2.649872
word.prefix3:Fen	B-PER	2.634085
word.lower():mienie	B-PER	2.63258
word.lower():roulf	B-PER	2.622917
word.lower():twijoogje	B-PER	2.621237
prev_word.lower():zoltkaamper	I-MISC	2.620506
word.prefix2:Ze	O	2.61331
prev_word.lower():t	I-LOC	2.603795
prev_word.lower():naor	B-LOC	2.582639
word.lower():aanje	B-PER	2.579641
word.lower():trien	B-PER	2.574617
word.lower():voader	O	2.567294
word.suffix2:as	B-PER	2.566932
word.suffix3:tan	B-PER	2.562824
word.suffix3:ërs	B-MISC	2.555799
word.prefix3:Lub	B-PER	2.554338
word.lower():soatan	B-PER	2.544543
prev_word.lower():bobbel	O	2.535588
word.prefix2:Ju	B-PER	2.522842
word.prefix3:Olj	B-MISC	2.519886
word.lower():grönnen	B-LOC	2.516455
word.prefix3:Pau	B-PER	2.512061
next_word.lower():ligt	B-LOC	2.509642
prev_word.lower():'k	O	2.507509
word.lower():meerten	B-PER	2.507185
word.suffix2:se	B-MISC	2.500694
prev_word.lower():nou	O	2.493076
prev_word.lower():boas	B-PER	2.485236
word.lower():reinder	B-PER	2.478079
word.suffix3:ene	B-PER	2.472989
prev_word.lower():grunneger	I-LOC	2.46255
word.prefix3:28s	B-MISC	2.456414
prev_word.lower():uut	B-LOC	2.452221
word.lower():griet	B-PER	2.444534
word.prefix2:Do	O	2.438749
word.prefix3:Wic	O	2.438015
prev_word.lower():boer	B-PER	2.429749
word.suffix3:kie	B-PER	2.425113
word.lower():zwier	B-PER	2.421168
prev_word.lower():meneer	B-PER	2.413917
prev_word.lower():deur	I-PER	2.413105
word.lower():oljoarsdag	B-MISC	2.408807
prev_word.isupper()	I-PER	2.406748
word.prefix3:zön	B-MISC	2.406586
word.suffix3:and	B-LOC	2.404002
word.wordshape():'X	O	2.396334
prev_word.lower():noar	B-LOC	2.385096
word.lower():aize	B-PER	2.384403
prev_word.lower():g.	O	2.383781
word.suffix3:gje	B-PER	2.380953
word.wordshape():Xxxxxxxxxxxxxx	B-MISC	2.366691
word.lower():braodherink	B-PER	2.365319
word.prefix3:Kam	I-PER	2.362873
prev_word.lower():'s	O	2.362443
word.lower():hoes	B-PER	2.361557
word.prefix3:Mai	B-LOC	2.356989
word.lower():dissel	B-PER	2.35127
word.prefix3:Doo	O	2.344463
