Label	Next label	Weight
B-LOC	I-LOC	5.481971
B-PER	I-PER	5.305297
B-MISC	I-MISC	5.237649
B-ORG	I-ORG	5.161546
I-MISC	I-MISC	4.692543
I-LOC	I-LOC	4.264624
I-ORG	I-ORG	4.075794
I-PER	I-PER	4.064214
O	O	3.290839
O	B-PER	2.080951
O	B-MISC	1.568724
B-MISC	B-MISC	1.48727
B-ORG	B-ORG	1.441611
O	B-ORG	1.352182
O	B-LOC	1.297177
B-MISC	I-LOC	0.609217
I-PER	B-LOC	0.441868
B-PER	O	0.234057
B-PER	B-PER	0.142496
I-MISC	I-PER	-0.000115
I-ORG	B-ORG	-0.043172
I-ORG	I-PER	-0.061735
I-PER	I-ORG	-0.100503
B-ORG	I-PER	-0.129396
B-PER	B-ORG	-0.145301
I-LOC	B-MISC	-0.176994
I-PER	B-PER	-0.22074
B-MISC	O	-0.260134
I-LOC	O	-0.270571
B-MISC	B-ORG	-0.271877
I-MISC	O	-0.281137
I-PER	I-LOC	-0.292559
I-PER	B-MISC	-0.30081
I-PER	I-MISC	-0.316927
B-ORG	B-MISC	-0.317059
I-ORG	B-LOC	-0.318535
I-MISC	B-LOC	-0.342726
B-LOC	I-MISC	-0.354441
B-PER	I-MISC	-0.36917
I-ORG	B-PER	-0.445739
I-MISC	B-PER	-0.454712
I-ORG	O	-0.493408
I-LOC	B-PER	-0.575259
B-PER	I-ORG	-0.580861
B-LOC	B-ORG	-0.652304
B-PER	I-LOC	-0.732914
B-LOC	I-ORG	-0.739909
B-MISC	I-ORG	-0.743083
B-ORG	B-PER	-0.825249
B-LOC	O	-0.896685
B-LOC	B-LOC	-0.959268
I-PER	O	-0.965586
B-MISC	I-PER	-0.987345
B-LOC	B-MISC	-1.015935
B-LOC	I-PER	-1.04381
B-MISC	B-PER	-1.061396
B-ORG	B-LOC	-1.096489
B-PER	B-MISC	-1.149917
B-ORG	O	-1.221484
B-PER	B-LOC	-1.257916
B-MISC	B-LOC	-1.499979
O	I-MISC	-1.501372
B-LOC	B-PER	-2.17004
I-LOC	B-LOC	-2.179314
O	I-ORG	-2.232455
O	I-PER	-2.418321
O	I-LOC	-2.945584
